header,,,lamp_states,,,,lamp_states,,,,lamp_states,,,
stamp,,frame_id,type,status,confidence,id,type,status,confidence,id,type,status,confidence,id
sec,nanosec,,,,,,,,,,,,,
1720612912,116841063,CF_short,1,8,99,58554,,,,,,,,
1720612912,218105501,CF_short,1,8,99,58554,,,,,,,,
1720612912,328007566,CF_short,1,8,99,58554,,,,,,,,
1720612912,399511704,CF_short,1,8,98,58554,,,,,,,,
1720612912,497095719,CF_short,1,8,99,58554,,,,,,,,
1720612912,613498835,CF_short,1,8,97,58554,,,,,,,,
1720612912,741656468,CF_short,1,8,99,58554,,,,,,,,
1720612912,812931338,CF_short,1,8,84,58554,,,,,,,,
1720612912,918578341,CF_short,1,8,99,58554,,,,,,,,
1720612912,988050957,CF_short,1,8,94,58554,,,,,,,,
1720612913,69654032,CF_short,1,8,99,58554,,,,,,,,
1720612913,201858055,CF_short,0,8,86,58554,,,,,,,,
1720612913,414370263,CF_short,1,8,63,58554,,,,,,,,
1720612913,487539818,CF_short,0,8,97,58554,,,,,,,,
1720612913,600284410,CF_short,0,8,50,58554,,,,,,,,
1720612913,631974899,CF_short,0,8,65,58554,,,,,,,,
1720612913,703629166,CF_short,0,8,78,58554,,,,,,,,
1720612913,820420255,CF_short,0,8,99,58554,,,,,,,,
1720612913,895637272,CF_short,0,8,69,58554,,,,,,,,
1720612914,6348696,CF_short,0,8,90,58554,,,,,,,,
1720612914,112189982,CF_short,0,8,38,58554,,,,,,,,
1720612914,210483131,CF_short,1,8,56,58554,,,,,,,,
1720612914,324276889,CF_short,1,8,59,58554,,,,,,,,
1720612914,425970914,CF_short,0,8,61,58554,,,,,,,,
1720612914,521070152,CF_short,1,8,64,58554,,,,,,,,
1720612914,622205261,CF_short,1,8,89,58554,,,,,,,,
1720612914,759972898,CF_short,1,8,78,58554,,,,,,,,
1720612914,867002852,CF_short,1,8,50,58554,,,,,,,,
1720612914,974672811,CF_short,1,8,79,58554,,,,,,,,
1720612915,39588861,CF_short,1,8,82,58554,,,,,,,,
1720612915,175986556,CF_short,1,8,73,58554,,,,,,,,
1720612915,245705805,CF_short,1,8,65,58554,,,,,,,,
1720612915,349694072,CF_short,1,8,97,58554,,,,,,,,
1720612915,461683526,CF_short,1,8,94,58554,,,,,,,,
1720612915,560282254,CF_short,1,8,84,58554,,,,,,,,
1720612915,629586149,CF_short,1,8,88,58554,,,,,,,,
1720612915,726395835,CF_short,1,8,63,58554,,,,,,,,
1720612915,860087944,CF_short,0,8,71,58554,,,,,,,,
1720612916,35760831,CF_short,1,8,64,58554,,,,,,,,
1720612916,109492538,CF_short,1,8,96,58554,,,,,,,,
1720612916,145179211,CF_short,1,8,72,58554,,,,,,,,
1720612916,244817102,CF_short,1,8,68,58554,,,,,,,,
1720612916,315991240,CF_short,1,8,67,58554,,,,,,,,
1720612916,440293818,CF_short,1,8,91,58554,,,,,,,,
1720612916,540314210,CF_short,1,8,78,58554,,,,,,,,
1720612916,650288981,CF_short,1,8,98,58554,,,,,,,,
1720612916,768962152,CF_short,1,8,57,58554,,,,,,,,
1720612916,833724011,CF_short,1,8,94,58554,,,,,,,,
1720612916,935065566,CF_short,1,8,96,58554,,,,,,,,
1720612917,89266473,CF_short,1,8,50,58554,,,,,,,,
1720612917,256371896,CF_short,1,8,57,58554,,,,,,,,
1720612917,425793421,CF_short,1,8,73,58554,,,,,,,,
1720612917,493371367,CF_short,1,8,99,58554,,,,,,,,
1720612917,561342312,CF_short,1,8,96,58554,,,,,,,,
1720612917,655780032,CF_short,1,8,81,58554,,,,,,,,
1720612917,755060855,CF_short,1,8,95,58554,,,,,,,,
1720612917,854060789,CF_short,1,8,90,58554,,,,,,,,
1720612917,961877776,CF_short,1,8,95,58554,,,,,,,,
1720612918,57424928,CF_short,1,8,93,58554,,,,,,,,
1720612918,188770221,CF_short,1,8,99,58554,,,,,,,,
1720612918,225305050,CF_short,1,8,78,58554,,,,,,,,
1720612918,363125514,CF_short,1,8,89,58554,,,,,,,,
1720612918,394396159,CF_short,1,8,91,58554,,,,,,,,
1720612918,498335138,CF_short,1,8,89,58554,,,,,,,,
1720612918,565118360,CF_short,1,8,64,58554,,,,,,,,
1720612918,702214876,CF_short,1,8,99,58554,,,,,,,,
1720612918,766575689,CF_short,1,8,88,58554,,,,,,,,
1720612918,866426735,CF_short,1,8,95,58554,,,,,,,,
1720612918,965933523,CF_short,1,8,94,58554,5,8,94,58554,,,,
1720612919,78021253,CF_short,1,8,95,58554,,,,,,,,
1720612919,146221435,CF_short,1,8,98,58554,,,,,,,,
1720612919,283612016,CF_short,1,8,95,58554,,,,,,,,
1720612919,352136946,CF_short,1,8,91,58554,,,,,,,,
1720612919,489580964,CF_short,1,8,90,58554,,,,,,,,
1720612919,589508976,CF_short,1,8,91,58554,,,,,,,,
1720612919,700360005,CF_short,1,8,68,58554,,,,,,,,
1720612919,936150937,CF_short,1,8,58,58554,,,,,,,,
1720612920,12631223,CF_short,1,8,97,58554,,,,,,,,
1720612920,53955214,CF_short,1,8,92,58554,,,,,,,,
1720612920,154556165,CF_short,1,8,87,58554,,,,,,,,
1720612920,273622075,CF_short,1,8,77,58554,,,,,,,,
1720612920,374714104,CF_short,1,8,76,58554,,,,,,,,
1720612920,443438247,CF_short,1,8,98,58554,,,,,,,,
1720612920,580568949,CF_short,1,8,89,58554,,,,,,,,
1720612920,684989694,CF_short,1,8,96,58554,,,,,,,,
1720612920,798708239,CF_short,1,8,80,58554,,,,,,,,
1720612920,893872039,CF_short,1,8,56,58554,,,,,,,,
1720612921,94856048,CF_short,1,8,98,58554,,,,,,,,
1720612921,195027414,CF_short,1,8,98,58554,,,,,,,,
1720612921,295154499,CF_short,1,8,98,58554,,,,,,,,
1720612921,394047142,CF_short,1,8,96,58554,,,,,,,,
1720612921,563401355,CF_short,1,8,98,58554,,,,,,,,
1720612921,665795697,CF_short,1,8,79,58554,,,,,,,,
1720612921,702351941,CF_short,1,8,98,58554,,,,,,,,
1720612921,801843960,CF_short,1,8,99,58554,,,,,,,,
1720612921,900225004,CF_short,1,8,51,58554,,,,,,,,
1720612922,19044825,CF_short,1,8,89,58554,,,,,,,,
1720612922,119583447,CF_short,1,8,95,58554,,,,,,,,
1720612922,222654827,CF_short,1,8,86,58554,,,,,,,,
1720612922,337965945,CF_short,1,8,56,58554,,,,,,,,
1720612922,477945632,CF_short,1,8,92,58554,,,,,,,,
1720612922,577978589,CF_short,1,8,97,58554,,,,,,,,
1720612922,641693732,CF_short,1,8,52,58554,,,,,,,,
1720612922,756748713,CF_short,1,8,64,58554,,,,,,,,
1720612922,855117498,CF_short,1,8,52,58554,,,,,,,,
1720612922,955684695,CF_short,1,8,85,58554,,,,,,,,
1720612923,59702227,CF_short,1,8,92,58554,,,,,,,,
1720612923,127266137,CF_short,1,8,99,58554,,,,,,,,
1720612923,278667199,CF_short,1,8,86,58554,,,,,,,,
1720612923,348034850,CF_short,1,8,86,58554,,,,,,,,
1720612923,445471393,CF_short,1,8,98,58554,,,,,,,,
1720612923,513965102,CF_short,1,8,96,58554,,,,,,,,
1720612923,611697337,CF_short,1,8,97,58554,,,,,,,,
1720612923,711434899,CF_short,1,8,94,58554,,,,,,,,
1720612923,810411797,CF_short,1,8,79,58554,,,,,,,,
1720612923,919356060,CF_short,1,8,86,58554,,,,,,,,
1720612924,19349869,CF_short,1,8,98,58554,,,,,,,,
1720612924,90278340,CF_short,1,8,95,58554,,,,,,,,
1720612924,227486565,CF_short,1,8,90,58554,,,,,,,,
1720612924,324860209,CF_short,1,8,93,58554,,,,,,,,
1720612924,424964491,CF_short,1,8,97,58554,,,,,,,,
1720612924,632831165,CF_short,1,8,84,58554,,,,,,,,
1720612924,777008812,CF_short,1,8,94,58554,,,,,,,,
1720612924,852536087,CF_short,1,8,93,58554,,,,,,,,
1720612925,65855434,CF_short,1,8,99,58554,,,,,,,,
1720612925,94539668,CF_short,1,8,94,58554,,,,,,,,
1720612925,198290462,CF_short,1,8,83,58554,,,,,,,,
1720612925,266892913,CF_short,1,8,84,58554,,,,,,,,
1720612925,360938311,CF_short,1,8,97,58554,,,,,,,,
1720612925,498355331,CF_short,1,8,97,58554,,,,,,,,
1720612925,568236839,CF_short,1,8,98,58554,,,,,,,,
1720612925,671685965,CF_short,1,8,99,58554,,,,,,,,
1720612925,773525294,CF_short,1,8,98,58554,,,,,,,,
1720612925,839847711,CF_short,1,8,98,58554,,,,,,,,
1720612925,984445490,CF_short,1,8,93,58554,,,,,,,,
1720612926,57161095,CF_short,1,8,65,58554,,,,,,,,
1720612926,227235526,CF_short,1,8,54,58554,,,,,,,,
1720612926,393038335,CF_short,1,8,95,58554,,,,,,,,
1720612926,525097231,CF_short,1,8,97,58554,,,,,,,,
1720612926,561458120,CF_short,1,8,97,58554,,,,,,,,
1720612926,658654140,CF_short,1,8,99,58554,,,,,,,,
1720612926,759634508,CF_short,1,8,83,58554,,,,,,,,
1720612926,858597779,CF_short,1,8,91,58554,,,,,,,,
1720612926,925436066,CF_short,1,8,49,58554,,,,,,,,
1720612927,28774383,CF_short,1,8,86,58554,,,,,,,,
1720612927,131608109,CF_short,1,8,98,58554,,,,,,,,
1720612927,196507388,CF_short,1,8,81,58554,,,,,,,,
1720612927,300940215,CF_short,1,8,85,58554,,,,,,,,
1720612927,405922485,CF_short,1,8,90,58554,,,,,,,,
1720612927,518265096,CF_short,1,8,97,58554,,,,,,,,
1720612927,655090352,CF_short,1,8,94,58554,,,,,,,,
1720612927,721182433,CF_short,1,8,72,58554,,,,,,,,
1720612927,832547966,CF_short,1,8,61,58554,,,,,,,,
1720612927,933995509,CF_short,1,8,88,58554,,,,,,,,
1720612928,32555266,CF_short,1,8,88,58554,,,,,,,,
1720612928,137447795,CF_short,1,8,64,58554,,,,,,,,
1720612928,241308804,CF_short,1,8,97,58554,,,,,,,,
1720612928,310200874,CF_short,1,8,97,58554,,,,,,,,
1720612928,444267821,CF_short,1,8,99,58554,,,,,,,,
1720612928,545382598,CF_short,1,8,70,58554,,,,,,,,
1720612928,650046152,CF_short,1,8,98,58554,,,,,,,,
1720612928,714564572,CF_short,1,8,93,58554,,,,,,,,
1720612928,846366519,CF_short,1,8,97,58554,,,,,,,,
1720612928,979605398,CF_short,1,8,70,58554,,,,,,,,
1720612929,78116961,CF_short,1,8,93,58554,,,,,,,,
1720612929,176563376,CF_short,1,8,89,58554,,,,,,,,
1720612929,247052701,CF_short,1,8,97,58554,,,,,,,,
1720612929,315007586,CF_short,1,8,68,58554,,,,,,,,
1720612929,386399950,CF_short,1,8,94,58554,,,,,,,,
1720612929,528118167,CF_short,1,8,96,58554,,,,,,,,
1720612929,656642348,CF_short,1,8,71,58554,,,,,,,,
1720612929,722813134,CF_short,1,8,90,58554,,,,,,,,
1720612929,859062924,CF_short,1,8,70,58554,,,,,,,,
1720612930,22779157,CF_short,1,8,84,58554,,,,,,,,
1720612930,87247588,CF_short,1,8,51,58554,,,,,,,,
1720612930,157179797,CF_short,1,8,76,58554,,,,,,,,
1720612930,226131529,CF_short,1,8,97,58554,,,,,,,,
